date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:50	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2009%20May%202020%2009:07:50%20GMT	http://cdainterview.com/robots.txt		(from )
10:07:50	22975/22975	---M--	200	added ('OK')	text/html	date:Fri,%2009%20Mar%202018%2000:32:10%20GMT	http://cdainterview.com/	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/index.html	(from )
10:07:51	30015/30015	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2000:32:11%20GMT	http://cdainterview.com/rw_common/themes/Endeavor/styles.css	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/rw_common/themes/Endeavor/styles.css	(from http://cdainterview.com/)
10:07:52	3503/3503	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2000:32:11%20GMT	http://cdainterview.com/rw_common/themes/Endeavor/colourtag-page0.css	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/rw_common/themes/Endeavor/colourtag-page0.css	(from http://cdainterview.com/)
10:07:52	3814/3814	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2000:32:11%20GMT	http://cdainterview.com/rw_common/themes/Endeavor/flexslider.css	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/rw_common/themes/Endeavor/flexslider.css	(from http://cdainterview.com/)
10:07:52	317/317	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2000:32:11%20GMT	http://cdainterview.com/rw_common/themes/Endeavor/css/contentcenter.css	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/rw_common/themes/Endeavor/css/contentcenter.css	(from http://cdainterview.com/)
10:07:52	64/64	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2000:32:11%20GMT	http://cdainterview.com/rw_common/themes/Endeavor/css/ec9on.css	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/rw_common/themes/Endeavor/css/ec9on.css	(from http://cdainterview.com/)
10:07:53	50/50	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2000:32:11%20GMT	http://cdainterview.com/rw_common/themes/Endeavor/css/rimage.css	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/rw_common/themes/Endeavor/css/rimage.css	(from http://cdainterview.com/)
10:07:53	33/33	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2000:32:11%20GMT	http://cdainterview.com/rw_common/themes/Endeavor/css/ssoff.css	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/rw_common/themes/Endeavor/css/ssoff.css	(from http://cdainterview.com/)
10:07:53	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2009%20Mar%202018%2000:32:11%20GMT	http://cdainterview.com/rw_common/themes/Endeavor/css/sslide.css	C:/Users/IUO%20Web%20Dev/Desktop/Bemo-academic-consulting-assignment/src/copied/Bemo/cdainterview.com/rw_common/themes/Endeavor/css/sslide.7.delayed	(from http://cdainterview.com/)
